Date,Close
1989-12-29,35.99
1990-01-08,35.93
1990-01-15,35.97
1990-01-22,35.99
1990-01-29,35.96
1990-01-31,35.96
1990-02-05,36.02
1990-02-12,35.93
1990-02-19,35.97
1990-02-26,35.95
1990-02-28,36.0
1990-03-05,36.06
1990-03-12,36.17
1990-03-19,36.22
1990-03-26,36.31
1990-03-30,36.42
1990-04-02,36.44
1990-04-09,36.65
1990-04-17,36.76
1990-04-23,36.77
1990-04-30,36.82
1990-05-07,36.98
1990-05-14,37.04
1990-05-21,37.07
1990-05-28,37.17
1990-05-31,37.25
1990-06-05,37.24
1990-06-11,37.15
1990-06-18,37.27
1990-06-25,37.32
1990-06-29,37.44
1990-07-09,37.52
1990-07-16,37.52
1990-07-23,37.62
1990-07-31,37.56
1990-08-06,37.29
1990-08-13,37.2
1990-08-20,37.14
1990-08-27,37.13
1990-08-31,37.22
1990-09-10,37.25
1990-09-17,37.21
1990-09-24,37.07
1990-09-28,37.17
1990-10-08,37.39
1990-10-15,37.46
1990-10-22,37.62
1990-10-29,37.62
1990-10-31,37.62
1990-11-05,37.66
1990-11-12,37.64
1990-11-19,37.76
1990-11-26,37.89
1990-11-30,37.87
1990-12-10,38.01
1990-12-17,38.09
1990-12-26,38.14
1990-12-28,38.16
1991-01-07,38.28
1991-01-14,38.3
1991-01-21,38.46
1991-01-28,38.49
1991-01-31,38.59
1991-02-04,38.61
1991-02-11,38.86
1991-02-18,39.06
1991-02-25,39.2
1991-02-28,39.24
1991-03-04,39.25
1991-03-11,39.52
1991-03-18,39.6
1991-03-25,39.58
1991-03-28,39.67
1991-04-02,39.71
1991-04-08,39.91
1991-04-15,40.01
1991-04-22,40.03
1991-04-29,40.07
1991-04-30,40.17
1991-05-06,40.26
1991-05-13,40.25
1991-05-21,40.3
1991-05-27,40.2
1991-05-31,40.35
1991-06-10,40.33
1991-06-17,40.42
1991-06-24,40.4
1991-06-28,40.43
1991-07-08,40.39
1991-07-15,40.3
1991-07-22,40.58
1991-07-29,40.62
1991-07-31,40.61
1991-08-05,40.68
1991-08-12,40.76
1991-08-19,40.81
1991-08-26,41.03
1991-08-30,41.15
1991-09-09,41.27
1991-09-16,41.37
1991-09-23,41.42
1991-09-30,41.48
1991-10-07,41.48
1991-10-14,41.53
1991-10-21,41.72
1991-10-28,41.67
1991-10-31,41.74
1991-11-12,41.82
1991-11-18,41.8
1991-11-25,41.47
1991-11-29,41.59
1991-12-09,41.51
1991-12-16,41.66
1991-12-23,41.5
1991-12-31,41.87
1992-01-06,42.09
1992-01-13,42.27
1992-01-20,42.46
1992-01-27,42.54
1992-01-31,42.6
1992-02-10,42.6
1992-02-17,42.64
1992-02-24,42.85
1992-02-28,42.96
1992-03-09,42.93
1992-03-16,42.89
1992-03-23,42.85
1992-03-31,42.81
1992-04-06,42.96
1992-04-13,43.18
1992-04-21,43.3
1992-04-27,43.25
1992-04-30,43.39
1992-05-11,43.63
1992-05-18,43.68
1992-05-25,43.8
1992-05-29,43.79
1992-06-09,43.65
1992-06-15,43.61
1992-06-22,43.57
1992-06-30,43.68
1992-07-06,43.71
1992-07-15,43.76
1992-07-20,43.61
1992-07-27,43.6
1992-07-31,43.59
1992-08-10,43.81
1992-08-17,43.9
1992-08-24,43.85
1992-08-31,43.88
1992-09-07,44.2
1992-09-14,44.49
1992-09-21,44.67
1992-09-28,44.62
1992-09-30,44.42
1992-10-05,44.47
1992-10-12,44.66
1992-10-19,44.84
1992-10-26,45.43
1992-10-30,45.51
1992-11-09,45.52
1992-11-16,45.59
1992-11-24,45.6
1992-12-01,45.59
1992-12-08,45.72
1992-12-15,45.79
1992-12-22,45.82
1992-12-29,46.11
1993-01-01,46.22
1993-01-05,46.19
1993-01-12,46.36
1993-01-19,46.58
1993-01-26,46.58
1993-02-01,46.5
1993-02-02,46.46
1993-02-09,46.86
1993-02-16,46.92
1993-02-23,47.14
1993-03-01,47.2
1993-03-02,47.32
1993-03-09,47.61
1993-03-16,47.71
1993-03-23,47.72
1993-03-30,47.87
1993-04-01,48.0
1993-04-06,47.99
1993-04-14,48.2
1993-04-20,48.41
1993-04-27,48.37
1993-05-01,48.4
1993-05-04,48.38
1993-05-11,48.5
1993-05-18,48.64
1993-05-25,48.8
1993-05-28,48.88
1993-06-01,48.88
1993-06-08,48.91
1993-06-14,49.26
1993-06-15,49.26
1993-06-22,49.49
1993-06-29,49.81
1993-07-01,49.81
1993-07-06,49.73
1993-07-13,49.91
1993-07-20,50.04
1993-07-27,50.12
1993-08-01,50.4
1993-08-03,50.82
1993-08-10,50.9
1993-08-18,51.04
1993-08-24,51.13
1993-09-01,51.52
1993-09-07,51.31
1993-09-14,51.45
1993-09-21,51.49
1993-09-28,51.6
1993-10-01,51.71
1993-10-05,51.69
1993-10-12,51.8
1993-10-19,52.07
1993-10-26,52.3
1993-11-01,52.32
1993-11-02,52.32
1993-11-09,52.21
1993-11-16,52.33
1993-11-23,52.41
1993-12-01,52.46
1993-12-07,52.61
1993-12-14,52.92
1993-12-21,53.04
1993-12-28,53.26
1993-12-31,53.45
1994-01-06,53.42
1994-01-11,53.57
1994-01-18,53.66
1994-01-25,53.62
1994-01-31,53.8
1994-02-01,53.8
1994-02-08,53.48
1994-02-15,53.57
1994-02-22,53.55
1994-02-28,53.24
1994-03-01,53.24
1994-03-08,53.26
1994-03-15,53.15
1994-03-22,53.07
1994-03-29,52.78
1994-03-31,52.91
1994-04-05,52.88
1994-04-12,52.97
1994-04-19,53.09
1994-04-26,52.81
1994-04-29,52.74
1994-05-03,52.8
1994-05-10,52.18
1994-05-17,52.54
1994-05-24,52.74
1994-05-31,52.19
1994-06-07,52.01
1994-06-13,52.05
1994-06-14,52.05
1994-06-21,51.08
1994-06-27,51.43
1994-06-30,52.0
1994-07-04,51.59
1994-07-11,51.54
1994-07-18,52.17
1994-07-25,52.42
1994-07-29,52.5
1994-08-01,52.53
1994-08-08,52.57
1994-08-16,51.99
1994-08-22,51.79
1994-08-29,52.02
1994-08-31,52.02
1994-09-05,51.89
1994-09-12,51.58
1994-09-19,51.51
1994-09-26,51.55
1994-09-30,51.51
1994-10-03,51.51
1994-10-10,51.4
1994-10-17,51.79
1994-10-24,51.46
1994-10-28,51.38
1994-11-02,51.3
1994-11-07,51.52
1994-11-14,51.79
1994-11-21,51.93
1994-11-28,52.41
1994-11-30,52.35
1994-12-05,52.61
1994-12-12,52.42
1994-12-19,52.3
1994-12-26,52.3
1994-12-30,52.11
1995-01-04,52.04
1995-01-09,52.01
1995-01-16,52.3
1995-01-23,52.22
1995-01-31,52.51
1995-02-06,52.74
1995-02-13,52.89
1995-02-20,52.81
1995-02-28,52.92
1995-03-06,52.8
1995-03-13,52.47
1995-03-20,52.92
1995-03-27,53.13
1995-03-31,53.29
1995-04-03,53.2
1995-04-10,53.57
1995-04-18,53.52
1995-04-24,53.63
1995-04-28,53.84
1995-05-02,53.76
1995-05-09,54.26
1995-05-15,54.59
1995-05-22,54.71
1995-05-29,54.76
1995-05-31,54.86
1995-06-06,55.1
1995-06-12,54.86
1995-06-19,54.86
1995-06-26,54.99
1995-06-30,54.92
1995-07-03,54.83
1995-07-10,55.37
1995-07-17,55.45
1995-07-24,55.42
1995-07-31,55.65
1995-08-07,55.97
1995-08-16,56.06
1995-08-21,56.15
1995-08-28,56.22
1995-08-31,56.25
1995-09-04,56.25
1995-09-11,56.31
1995-09-18,56.48
1995-09-25,56.14
1995-09-29,56.04
1995-10-02,56.17
1995-10-09,56.03
1995-10-16,56.34
1995-10-23,56.19
1995-10-31,56.63
1995-11-06,56.76
1995-11-13,57.01
1995-11-20,57.38
1995-11-27,57.55
1995-11-30,57.58
1995-12-04,57.54
1995-12-11,57.79
1995-12-18,58.08
1995-12-26,58.06
1995-12-29,58.3
1996-01-03,58.41
1996-01-04,58.41
1996-01-08,58.51
1996-01-09,58.51
1996-01-15,58.78
1996-01-16,58.78
1996-01-22,59.22
1996-01-23,59.22
1996-01-29,59.17
1996-01-30,59.17
1996-01-31,59.4
1996-02-05,59.31
1996-02-12,59.26
1996-02-19,59.14
1996-02-26,59.23
1996-02-29,59.36
1996-03-04,59.51
1996-03-11,59.31
1996-03-18,59.32
1996-03-25,59.5
1996-03-29,59.63
1996-04-01,59.71
1996-04-09,59.74
1996-04-15,59.92
1996-04-22,60.21
1996-04-30,60.45
1996-05-06,60.23
1996-05-13,60.36
1996-05-20,60.55
1996-05-28,60.69
1996-05-31,60.61
1996-06-03,60.61
1996-06-10,60.6
1996-06-17,60.55
1996-06-24,60.54
1996-06-28,60.68
1996-07-01,60.69
1996-07-08,60.65
1996-07-15,60.74
1996-07-22,60.78
1996-07-29,60.81
1996-07-31,60.81
1996-08-05,61.01
1996-08-12,61.01
1996-08-19,61.1
1996-08-26,61.13
1996-08-30,61.14
1996-09-02,61.1
1996-09-09,61.3
1996-09-16,61.71
1996-09-23,61.8
1996-09-30,62.06
1996-10-07,62.27
1996-10-14,62.37
1996-10-21,62.61
1996-10-28,62.56
1996-10-31,62.56
1996-11-04,62.55
1996-11-12,62.8
1996-11-18,62.86
1996-11-25,63.0
1996-11-29,63.27
