Date,Close
1998-01-06,15.24
1998-01-13,15.19
1998-01-20,15.28
1998-01-27,15.38
1998-01-30,15.61
1998-02-03,15.58
1998-02-10,15.7
1998-02-17,15.99
1998-02-24,16.25
1998-02-27,16.41
1998-03-03,16.53
1998-03-10,16.68
1998-03-17,17.2
1998-03-24,17.19
1998-03-31,17.45
1998-04-07,17.67
1998-04-14,17.71
1998-04-21,18.16
1998-04-28,18.29
1998-04-30,18.31
1998-05-05,18.61
1998-05-11,18.92
1998-05-12,18.9
1998-05-19,19.19
1998-05-26,19.26
1998-05-29,19.42
1998-06-02,19.5
1998-06-09,19.73
1998-06-16,19.46
1998-06-23,19.55
1998-07-01,19.63
1998-07-07,19.8
1998-07-15,19.81
1998-07-21,19.94
1998-07-28,19.82
1998-07-31,19.86
1998-08-04,19.71
1998-08-11,19.49
1998-08-18,19.23
1998-08-25,19.14
1998-08-31,18.61
1998-09-01,18.14
1998-09-08,17.96
1998-09-15,17.81
1998-09-22,17.12
1998-09-29,17.09
1998-09-30,17.12
1998-10-06,16.09
1998-10-13,16.52
1998-10-20,17.47
1998-10-27,17.71
1998-10-30,17.76
1998-11-03,18.03
1998-11-10,18.09
1998-11-17,17.94
1998-11-24,17.97
1998-11-30,18.28
1998-12-04,18.01
1998-12-11,17.85
1998-12-18,17.8
1998-12-28,17.95
1998-12-30,18.25
1999-01-08,18.27
1999-01-15,17.94
1999-01-22,17.82
1999-01-29,17.91
1999-02-05,17.84
1999-02-12,18.05
1999-02-19,18.07
1999-02-26,18.26
1999-03-05,18.19
1999-03-12,18.28
1999-03-19,18.12
1999-03-26,17.92
1999-03-31,17.92
1999-04-06,18.03
1999-04-09,18.14
1999-04-16,18.24
1999-04-23,18.13
1999-04-30,18.52
1999-05-07,18.83
1999-05-14,18.97
1999-05-21,18.92
1999-05-28,18.88
1999-05-31,18.99
1999-06-04,19.06
1999-06-11,19.06
1999-06-18,19.32
1999-06-25,19.2
1999-06-30,19.33
1999-07-02,19.37
1999-07-09,19.24
1999-07-16,19.09
1999-07-23,18.83
1999-07-30,18.74
1999-08-06,18.7
1999-08-13,18.87
1999-08-20,19.11
1999-08-27,19.53
1999-08-31,19.61
1999-09-03,19.64
1999-09-10,19.97
1999-09-17,20.02
1999-09-24,19.92
1999-09-30,20.09
1999-10-01,20.08
1999-10-08,20.57
1999-10-15,20.37
1999-10-22,20.41
1999-10-29,20.63
1999-11-05,21.07
1999-11-12,21.54
1999-11-19,22.19
1999-11-26,23.06
1999-11-30,22.93
1999-12-03,23.39
1999-12-10,23.94
1999-12-17,23.87
1999-12-24,24.44
1999-12-30,25.0
2000-01-07,24.95
2000-01-14,26.09
2000-01-21,26.74
2000-01-28,26.81
2000-01-31,26.65
2000-02-04,28.17
2000-02-11,30.12
2000-02-18,30.69
2000-02-25,31.91
2000-02-29,32.04
2000-03-03,33.3
2000-03-10,33.74
2000-03-17,32.38
2000-03-24,30.64
2000-03-31,30.73
2000-04-07,30.08
2000-04-14,29.18
2000-04-25,29.23
2000-04-28,29.01
2000-05-05,29.72
2000-05-12,29.87
2000-05-19,29.2
2000-05-26,28.44
2000-05-31,29.15
2000-06-02,29.4
2000-06-09,29.21
2000-06-16,29.17
2000-06-23,28.76
2000-06-30,28.53
2000-07-07,28.5
2000-07-17,28.61
2000-07-21,28.56
2000-07-28,28.68
2000-07-31,28.67
2000-08-04,28.69
2000-08-11,28.92
2000-08-18,28.89
2000-08-25,29.39
2000-08-31,30.02
2000-09-01,30.11
2000-09-08,30.13
2000-09-15,29.96
2000-09-22,29.24
2000-09-29,29.52
2000-10-06,29.5
2000-10-13,28.71
2000-10-20,29.18
2000-10-27,29.39
2000-10-31,29.5
2000-11-03,29.78
2000-11-10,29.14
2000-11-17,29.25
2000-11-24,29.05
2000-11-30,28.72
2000-12-01,28.91
2000-12-08,28.73
2000-12-15,28.62
2000-12-22,28.35
2000-12-29,29.22
2001-01-05,28.8
2001-01-12,28.89
2001-01-19,29.42
2001-01-26,29.57
2001-01-31,29.68
2001-02-02,29.65
2001-02-09,29.43
2001-02-16,29.29
2001-02-23,28.75
2001-02-28,28.72
2001-03-02,28.44
2001-03-09,28.72
2001-03-16,27.73
2001-03-23,27.01
2001-03-30,27.44
2001-04-06,27.21
2001-04-17,27.33
2001-04-20,27.64
2001-04-27,28.01
2001-04-30,28.25
2001-05-04,28.43
2001-05-11,28.5
2001-05-18,28.73
2001-05-25,29.01
2001-05-31,28.96
2001-06-01,28.92
2001-06-08,29.07
2001-06-15,28.33
2001-06-22,27.56
2001-06-29,27.34
2001-07-06,26.95
2001-07-13,26.87
2001-07-20,26.88
2001-07-27,26.69
2001-07-31,26.83
2001-08-03,26.88
2001-08-10,26.49
2001-08-17,26.54
2001-08-24,26.59
2001-08-31,26.43
2001-09-07,25.31
2001-09-14,23.47
2001-09-21,22.4
2001-09-28,23.57
2001-10-05,23.62
2001-10-12,24.11
2001-10-19,24.21
2001-10-26,24.79
2001-10-31,24.52
2001-11-09,24.77
2001-11-16,25.3
2001-11-23,25.55
2001-11-30,25.57
2001-12-07,25.91
2001-12-14,25.69
2001-12-21,25.49
2001-12-28,25.74
2002-01-04,26.14
2002-01-11,26.43
2002-01-18,26.26
2002-01-25,26.42
2002-01-31,26.59
2002-02-01,26.73
2002-02-08,26.6
2002-02-15,26.67
2002-02-22,26.3
2002-02-28,26.64
2002-03-01,26.74
2002-03-08,27.1
2002-03-15,27.1
2002-03-22,27.39
2002-03-28,27.72
2002-04-05,27.61
2002-04-12,27.6
2002-04-19,27.83
2002-04-26,27.54
2002-04-30,27.58
2002-05-03,27.55
2002-05-10,27.69
2002-05-17,27.59
2002-05-24,27.31
2002-05-31,27.07
2002-06-07,26.53
2002-06-14,26.11
2002-06-21,25.97
2002-06-28,25.87
2002-07-05,25.71
2002-07-12,25.29
2002-07-19,25.08
2002-07-26,24.27
2002-07-31,24.51
2002-08-02,24.29
2002-08-09,24.18
2002-08-16,24.1
2002-08-23,24.63
2002-08-30,24.52
2002-09-06,24.01
2002-09-13,23.61
2002-09-20,22.75
2002-09-27,22.56
2002-09-30,22.4
2002-10-04,21.87
2002-10-11,21.66
2002-10-18,22.57
2002-10-25,22.54
2002-10-31,22.72
2002-11-01,23.0
2002-11-08,22.81
2002-11-15,22.83
2002-11-22,23.07
2002-11-29,23.43
2002-12-06,23.11
2002-12-13,22.81
2002-12-20,22.53
2002-12-27,22.52
2002-12-31,22.6
2003-01-03,22.84
2003-01-10,22.48
2003-01-17,22.22
2003-01-24,21.88
2003-01-31,21.75
2003-02-07,21.2
2003-02-14,20.91
2003-02-21,20.86
2003-02-28,20.42
2003-03-07,19.47
2003-03-14,19.87
2003-03-21,20.53
2003-03-28,20.2
2003-03-31,19.98
2003-04-04,20.22
2003-04-11,20.71
2003-04-22,21.04
2003-04-25,21.21
2003-04-30,21.46
2003-05-02,21.54
2003-05-09,21.81
2003-05-16,22.15
2003-05-23,21.97
2003-05-30,22.23
2003-06-06,22.83
2003-06-13,23.05
2003-06-20,23.05
2003-06-27,22.98
2003-06-30,22.97
2003-07-04,22.94
2003-07-11,23.18
2003-07-18,23.43
2003-07-25,23.57
2003-07-31,23.7
2003-08-01,23.75
2003-08-08,23.87
2003-08-18,24.18
2003-08-22,24.56
2003-08-29,24.78
2003-09-05,24.97
2003-09-12,24.86
2003-09-19,25.07
2003-09-26,24.67
2003-09-30,24.64
2003-10-03,24.92
2003-10-10,25.16
2003-10-17,25.25
2003-10-24,25.12
2003-10-31,25.56
2003-11-07,25.83
2003-11-14,25.62
2003-11-21,25.27
2003-11-28,25.43
2003-12-05,25.53
2003-12-12,25.49
2003-12-19,25.36
2003-12-29,25.39
2003-12-31,25.52
2004-01-02,25.7
2004-01-09,26.13
2004-01-16,26.49
2004-01-23,26.62
2004-01-30,26.78
2004-02-06,26.85
2004-02-13,27.08
2004-02-20,27.32
2004-02-27,27.67
2004-03-05,27.95
2004-03-12,27.33
2004-03-19,27.22
2004-03-26,27.15
2004-03-31,27.53
2004-04-02,27.75
2004-04-13,27.97
2004-04-16,27.83
2004-04-23,27.94
2004-04-30,27.93
2004-05-07,27.8
2004-05-14,27.48
2004-05-21,27.52
2004-05-28,27.8
2004-06-04,27.98
2004-06-11,28.12
2004-06-18,28.17
2004-06-25,28.47
2004-06-30,28.55
2004-07-02,28.5
2004-07-09,28.32
2004-07-16,28.33
2004-07-23,28.28
2004-07-30,28.36
2004-08-06,28.04
2004-08-13,27.89
2004-08-20,28.1
2004-08-27,28.35
2004-08-31,28.26
2004-09-03,28.39
2004-09-10,28.51
2004-09-17,28.79
2004-09-24,28.75
2004-09-30,28.86
2004-10-01,28.96
2004-10-08,29.12
2004-10-15,28.99
2004-10-22,29.08
2004-10-29,29.07
2004-11-05,29.39
2004-11-12,29.58
2004-11-19,29.41
2004-11-26,29.59
2004-11-30,29.66
2004-12-03,29.83
2004-12-10,29.89
2004-12-17,30.32
2004-12-24,30.3
2004-12-31,30.57
2005-01-07,30.72
2005-01-14,31.15
2005-01-21,31.35
2005-01-28,31.87
2005-01-31,31.97
2005-02-04,32.42
2005-02-11,32.68
2005-02-18,32.71
2005-02-25,32.62
2005-02-28,32.62
2005-03-04,32.73
2005-03-11,32.61
2005-03-18,32.64
2005-03-29,32.59
2005-03-31,32.79
2005-04-08,33.23
2005-04-15,33.05
2005-04-22,32.85
2005-04-29,32.36
2005-05-06,32.62
2005-05-13,32.76
2005-05-20,33.19
2005-05-27,33.29
2005-05-31,33.45
2005-06-03,33.63
2005-06-10,33.87
2005-06-17,34.07
2005-06-24,33.94
2005-06-30,34.22
2005-07-01,34.43
2005-07-08,34.61
2005-07-15,34.89
2005-07-22,35.02
2005-07-29,35.43
2005-08-05,35.65
2005-08-12,35.8
2005-08-19,35.7
2005-08-26,35.59
2005-08-31,35.86
2005-09-02,35.98
2005-09-09,36.45
2005-09-16,37.14
2005-09-23,37.1
2005-09-30,37.59
2005-10-07,37.27
2005-10-14,36.87
2005-10-21,36.05
2005-10-28,35.93
2005-10-31,36.32
2005-11-04,36.61
2005-11-14,36.61
2005-11-18,36.74
2005-11-25,37.09
2005-11-30,37.15
2005-12-02,37.48
2005-12-09,37.73
2005-12-16,37.84
2005-12-23,38.01
2005-12-30,38.31
2006-01-06,39.03
2006-01-13,39.34
2006-01-20,39.42
2006-01-27,39.81
2006-01-31,39.71
2006-02-03,39.86
2006-02-10,39.96
2006-02-17,40.41
2006-02-24,40.71
2006-02-28,40.61
2006-03-03,40.86
2006-03-10,41.01
2006-03-17,41.78
2006-03-24,42.04
2006-03-31,42.15
2006-04-07,42.38
2006-04-18,42.04
2006-04-21,42.65
2006-04-28,42.61
2006-05-05,43.18
2006-05-12,42.73
2006-05-19,40.9
2006-05-26,41.12
2006-05-31,41.04
2006-06-02,41.38
2006-06-09,40.24
2006-06-16,39.87
2006-06-23,40.29
2006-06-30,41.09
2006-07-07,40.8
2006-07-17,39.26
2006-07-21,39.43
2006-07-28,40.22
2006-07-31,40.28
2006-08-04,40.12
2006-08-11,39.85
2006-08-18,40.69
2006-08-25,40.86
2006-08-31,41.29
2006-09-01,41.54
2006-09-08,41.14
2006-09-15,41.33
2006-09-22,41.34
2006-09-29,41.65
2006-10-06,41.51
2006-10-13,41.76
2006-10-20,42.2
2006-10-27,42.52
2006-10-31,42.57
2006-11-03,42.53
2006-11-10,43.06
2006-11-17,43.23
2006-11-24,43.39
2006-11-30,43.12
2006-12-01,43.04
2006-12-08,43.31
2006-12-15,44.07
2006-12-22,44.19
2006-12-29,44.66
2007-01-05,44.75
2007-01-12,45.31
2007-01-19,45.48
2007-01-26,45.49
2007-01-31,45.95
2007-02-02,46.49
2007-02-09,47.06
2007-02-16,47.18
2007-02-23,47.37
2007-02-28,45.99
2007-03-02,45.61
2007-03-09,46.15
2007-03-16,45.93
2007-03-23,47.26
2007-03-30,47.56
2007-04-10,48.5
2007-04-13,48.52
2007-04-20,48.61
2007-04-27,48.74
2007-04-30,48.86
2007-05-04,49.38
2007-05-11,49.18
2007-05-18,49.48
2007-05-25,49.83
2007-05-31,50.07
2007-06-01,50.26
2007-06-08,49.19
2007-06-15,50.21
2007-06-22,49.89
2007-06-29,50.25
2007-07-06,50.53
2007-07-13,50.68
2007-07-20,50.58
2007-07-27,49.06
2007-07-31,49.53
2007-08-03,48.91
2007-08-10,48.18
2007-08-17,47.22
2007-08-24,48.34
2007-08-31,48.72
2007-09-07,48.04
2007-09-14,47.87
2007-09-21,48.31
2007-09-28,48.21
2007-10-05,49.07
2007-10-12,49.56
2007-10-19,48.96
2007-10-26,49.05
2007-10-31,49.04
2007-11-02,48.66
2007-11-09,47.44
2007-11-16,46.43
2007-11-23,45.62
2007-11-30,46.6
2007-12-07,46.63
2007-12-14,46.14
2007-12-21,45.66
2007-12-28,45.88
2007-12-31,46.14
2008-01-04,44.92
2008-01-11,43.09
2008-01-18,41.45
2008-01-25,41.9
2008-01-31,41.93
2008-02-01,42.6
2008-02-08,41.63
2008-02-15,42.28
2008-02-22,42.6
2008-02-29,42.32
2008-03-07,41.66
2008-03-14,41.57
2008-03-25,41.35
2008-03-28,41.75
2008-03-31,41.87
2008-04-04,42.4
2008-04-11,41.89
2008-04-18,42.55
2008-04-25,42.6
2008-04-30,42.88
2008-05-02,43.13
2008-05-09,43.46
2008-05-16,43.94
2008-05-23,43.3
2008-05-30,43.62
2008-06-06,43.38
2008-06-13,42.42
2008-06-20,41.67
2008-06-27,40.87
2008-06-30,40.94
2008-07-04,39.8
2008-07-11,38.99
2008-07-18,39.84
2008-07-25,40.04
2008-07-31,40.28
2008-08-01,40.16
2008-08-08,41.18
2008-08-18,41.34
2008-08-22,41.15
2008-08-29,41.73
2008-09-05,40.66
2008-09-12,40.71
2008-09-19,40.53
2008-09-26,39.3
2008-09-30,38.62
2008-10-03,38.07
2008-10-10,33.87
2008-10-17,33.95
2008-10-24,32.81
2008-10-31,34.14
2008-11-07,34.07
2008-11-14,33.54
2008-11-21,31.52
2008-11-28,32.95
2008-12-05,32.02
2008-12-12,32.83
2008-12-19,32.7
2008-12-29,32.67
2008-12-31,33.01
2009-01-02,33.58
2009-01-09,34.02
2009-01-16,32.77
2009-01-23,31.74
2009-01-30,32.87
2009-02-06,33.66
2009-02-13,32.98
2009-02-20,31.83
2009-02-27,31.48
2009-03-06,30.47
2009-03-13,31.12
2009-03-20,31.52
2009-03-27,31.73
2009-03-31,31.8
2009-04-03,32.82
2009-04-14,33.33
2009-04-17,33.93
2009-04-24,34.43
2009-04-30,34.87
2009-05-04,35.43
2009-05-11,35.33
2009-05-15,35.07
2009-05-22,35.45
2009-05-29,35.85
2009-06-05,36.48
2009-06-12,36.56
2009-06-19,35.76
2009-06-26,35.76
2009-06-30,36.01
2009-07-03,35.94
2009-07-10,35.22
2009-07-17,36.3
2009-07-24,37.11
2009-07-31,38.0
2009-08-07,38.38
2009-08-14,38.58
2009-08-21,38.88
2009-08-28,39.57
2009-08-31,39.38
2009-09-04,39.1
2009-09-11,40.28
2009-09-18,41.05
2009-09-25,40.59
2009-09-30,41.11
2009-10-02,40.26
2009-10-09,41.64
2009-10-16,41.76
2009-10-23,41.32
2009-10-30,39.96
2009-11-06,40.62
2009-11-13,40.84
2009-11-20,40.49
2009-11-27,40.34
2009-11-30,39.99
2009-12-04,40.8
2009-12-11,40.77
2009-12-18,41.01
2009-12-28,41.37
2009-12-31,41.54
2010-01-04,42.03
2010-01-08,42.52
2010-01-15,42.6
2010-01-22,42.12
2010-01-29,42.07
2010-02-05,41.12
2010-02-12,41.2
2010-02-19,42.02
2010-02-26,41.9
2010-03-05,42.81
2010-03-12,43.01
2010-03-19,43.5
2010-03-26,44.16
2010-03-31,44.05
2010-04-06,44.84
2010-04-09,44.87
2010-04-16,44.96
2010-04-23,45.32
2010-04-30,44.7
2010-05-07,42.21
2010-05-14,43.85
2010-05-21,42.37
2010-05-28,43.04
2010-05-31,43.19
2010-06-04,43.14
2010-06-11,43.49
2010-06-18,44.14
2010-06-25,43.27
2010-06-30,42.78
2010-07-02,42.26
2010-07-09,43.45
2010-07-16,43.51
2010-07-23,44.13
2010-07-30,43.97
2010-08-06,44.11
2010-08-13,43.33
2010-08-20,43.19
2010-08-27,43.21
2010-08-31,43.28
2010-09-03,44.2
2010-09-10,44.72
2010-09-17,45.03
2010-09-24,45.3
2010-09-30,45.29
2010-10-01,45.32
2010-10-08,45.65
2010-10-15,46.27
2010-10-22,46.53
2010-10-29,46.43
2010-11-05,47.04
2010-11-12,46.55
2010-11-19,46.57
2010-11-26,46.38
2010-11-30,45.91
2010-12-03,47.24
2010-12-10,47.58
2010-12-17,48.08
2010-12-24,48.52
2010-12-31,48.34
2011-01-07,48.85
2011-01-14,48.83
2011-01-21,48.46
2011-01-28,48.85
2011-01-31,48.73
2011-02-04,49.19
2011-02-11,49.39
2011-02-18,49.4
2011-02-25,49.17
2011-02-28,49.55
2011-03-04,49.36
2011-03-11,48.68
2011-03-18,48.04
2011-03-25,49.22
2011-03-31,49.39
2011-04-01,49.76
2011-04-08,49.81
2011-04-15,49.42
2011-04-26,49.89
2011-04-29,50.26
2011-05-06,50.19
2011-05-13,50.58
2011-05-20,50.5
2011-05-27,50.32
2011-05-31,50.57
2011-06-03,50.27
2011-06-10,49.81
2011-06-17,49.56
2011-06-24,49.34
2011-06-30,50.36
2011-07-01,50.45
2011-07-08,50.31
2011-07-15,49.43
2011-07-22,50.14
2011-07-29,49.33
2011-08-05,46.02
2011-08-12,45.97
2011-08-19,44.49
2011-08-26,45.22
2011-08-31,46.73
2011-09-02,46.16
2011-09-09,44.88
2011-09-16,45.02
2011-09-23,43.2
2011-09-30,43.85
2011-10-07,43.98
2011-10-14,45.13
2011-10-21,44.81
2011-10-28,46.05
2011-10-31,45.47
2011-11-04,45.04
2011-11-14,44.47
2011-11-18,43.33
2011-11-25,42.12
2011-11-30,44.09
2011-12-02,44.07
2011-12-09,43.81
2011-12-16,42.82
2011-12-23,43.75
2011-12-30,44.18
2012-01-06,44.45
2012-01-13,45.03
2012-01-20,45.96
2012-01-27,46.38
2012-01-31,46.39
2012-02-03,47.49
2012-02-10,47.45
2012-02-17,47.88
2012-02-24,48.13
2012-02-29,48.21
2012-03-02,48.53
2012-03-09,48.51
2012-03-16,49.25
2012-03-23,48.74
2012-03-30,48.85
2012-04-10,47.38
2012-04-13,47.81
2012-04-20,47.71
2012-04-27,48.34
2012-04-30,48.2
2012-05-04,47.57
2012-05-11,47.37
2012-05-18,45.96
2012-05-25,46.41
2012-05-31,46.26
2012-06-01,45.6
2012-06-08,46.43
2012-06-15,46.36
2012-06-22,46.5
2012-06-29,47.25
2012-07-06,47.46
2012-07-13,47.52
2012-07-20,48.4
2012-07-27,48.49
2012-07-31,48.47
2012-08-03,48.66
2012-08-10,48.91
2012-08-17,49.32
2012-08-24,48.87
2012-08-31,48.88
2012-09-07,49.5
2012-09-14,50.12
2012-09-21,50.05
2012-09-28,49.54
2012-10-05,50.02
2012-10-12,49.43
2012-10-19,49.8
2012-10-26,49.51
2012-10-31,49.48
2012-11-02,49.98
2012-11-09,49.5
2012-11-16,48.95
2012-11-23,50.16
2012-11-30,50.59
2012-12-07,51.02
2012-12-14,51.31
2012-12-21,51.32
2012-12-28,51.25
2012-12-31,51.4
2013-01-04,52.1
