Date,Close
2025-03-13,15.0
2026-01-12,14.99
2026-01-13,15.03
2026-01-14,15.0
2026-01-15,15.11
2026-01-16,15.09
2026-01-19,15.01
2026-01-20,14.68
2026-01-21,14.82
2026-01-22,14.87
2026-01-23,14.85
2026-01-26,14.78
2026-01-27,14.81
2026-01-28,14.8
2026-01-29,14.83
2026-01-30,14.78
2026-02-02,14.99
2026-02-03,14.89
2026-02-04,14.79
2026-02-05,14.64
2026-02-06,14.89
2026-02-09,14.9
2026-02-10,14.87
2026-02-11,14.94
2026-02-12,14.73
2026-02-13,14.79
2026-02-16,14.78
2026-02-17,14.83
2026-02-18,14.95
2026-02-19,14.98
2026-02-20,15.06
2026-02-23,14.91
2026-02-24,15.02
2026-02-25,15.09
2026-02-26,15.06
2026-02-27,15.03
2026-03-02,15.09
2026-03-03,14.95
2026-03-04,14.99
2026-03-05,14.97
2026-03-06,14.81
2026-03-09,14.84
2026-03-10,14.82
2026-03-11,14.88
2026-03-12,14.73
2026-03-13,14.71
2026-03-16,14.77
2026-03-17,14.78
2026-03-18,14.64
2026-03-19,14.55
2026-03-20,14.32
2026-03-23,14.39
2026-03-24,14.38
2026-03-25,14.5
2026-03-26,14.32
2026-03-27,14.14
2026-03-30,14.15
2026-03-31,14.4
2026-04-01,14.48
2026-04-02,14.55
2026-04-07,14.6
2026-04-08,14.85
2026-04-09,14.89
2026-04-10,14.83
2026-04-13,14.95
2026-04-14,15.01
2026-04-15,15.09
2026-04-16,15.14
2026-04-17,15.28
2026-04-20,15.31
2026-04-21,15.22
2026-04-22,15.37
2026-04-23,15.32
2026-04-24,15.4
2026-04-27,15.39
2026-04-28,15.32
2026-04-29,15.31
2026-04-30,15.48
2026-05-04,15.48
2026-05-05,15.6
2026-05-06,15.77
2026-05-07,15.74
2026-05-11,15.8
2026-05-12,15.81
2026-05-13,15.92
2026-05-15,15.93
2026-05-18,15.89
2026-05-19,15.88
2026-05-20,16.03
2026-05-21,16.1
2026-05-22,16.17
2026-05-26,16.26
2026-05-27,16.26
2026-05-28,16.27
2026-05-29,16.29
2026-06-01,16.43
2026-06-02,16.42
2026-06-03,16.35
2026-06-04,16.36
2026-06-05,16.13
2026-06-08,16.14
2026-06-09,16.1
2026-06-10,15.88
2026-06-11,16.17
2026-06-12,16.23
2026-06-15,16.45
2026-06-16,16.4
2026-06-17,16.31
2026-06-18,16.57
2026-06-19,16.57
2026-06-22,16.54
2026-06-23,16.37
2026-06-24,16.44
2026-06-25,16.45
2026-06-26,16.37
2026-06-29,16.53
2026-06-30,16.64
2026-07-01,16.62
2026-07-02,16.61
2026-07-03,16.65
2026-07-06,16.78
2026-07-07,16.66
2026-07-08,16.61
2026-07-09,16.71
2026-07-10,16.78
2026-07-13,16.7
