Date,Close
2024-06-24,30.0
2024-07-22,30.009
2024-07-23,30.012
2024-07-24,30.015
2024-07-25,30.018
2024-07-26,30.021
2024-07-29,30.031
2024-07-30,30.034
2024-07-31,30.037
2024-08-01,30.041
2024-08-02,30.044
2024-08-05,30.053
2024-08-06,30.057
2024-08-07,30.06
2024-08-08,30.063
2024-08-09,30.066
2024-08-12,30.075
2024-08-13,30.079
2024-08-14,30.082
2024-08-16,30.088
2024-08-19,30.097
2024-08-20,30.101
2024-08-21,30.104
2024-08-22,30.107
2024-08-23,30.11
2024-08-26,30.12
2024-08-27,30.123
2024-08-28,30.126
2024-08-29,30.129
2024-08-30,30.132
2024-09-02,30.141
2024-09-03,30.145
2024-09-04,30.148
2024-09-05,30.151
2024-09-06,30.154
2024-09-09,30.163
2024-09-10,30.167
2024-09-11,30.17
2024-09-12,30.173
2024-09-13,30.176
2024-09-16,30.185
2024-09-17,30.189
2024-09-18,30.192
2024-09-19,30.195
2024-09-20,30.198
2024-09-23,30.207
2024-09-24,30.21
2024-09-25,30.213
2024-09-26,30.216
2024-09-27,30.219
2024-09-30,30.228
2024-10-01,30.231
2024-10-02,30.234
2024-10-03,30.237
2024-10-04,30.24
2024-10-07,30.249
2024-10-08,30.252
2024-10-09,30.255
2024-10-10,30.258
2024-10-11,30.262
2024-10-14,30.27
2024-10-15,30.273
2024-10-16,30.276
2024-10-17,30.279
2024-10-18,30.282
2024-10-21,30.29
2024-10-22,30.294
2024-10-23,30.297
2024-10-24,30.3
2024-10-25,30.303
2024-10-28,30.311
2024-10-29,30.314
2024-10-30,30.316
2024-10-31,30.319
2024-11-04,30.33
2024-11-05,30.333
2024-11-06,30.336
2024-11-07,30.339
2024-11-08,30.341
2024-11-12,30.352
2024-11-13,30.355
2024-11-14,30.358
2024-11-15,30.36
2024-11-18,30.368
2024-11-19,30.371
2024-11-20,30.374
2024-11-21,30.377
2024-11-22,30.38
2024-11-25,30.387
2024-11-26,30.39
2024-11-27,30.393
2024-11-28,30.396
2024-11-29,30.399
2024-12-02,30.406
2024-12-03,30.409
2024-12-04,30.412
2024-12-05,30.415
2024-12-06,30.418
2024-12-09,30.426
2024-12-10,30.429
2024-12-11,30.432
2024-12-12,30.435
2024-12-13,30.437
2024-12-16,30.446
2024-12-17,30.449
2024-12-18,30.451
2024-12-19,30.454
2024-12-20,30.456
2024-12-23,30.463
2024-12-24,30.466
2024-12-27,30.473
2024-12-30,30.481
2024-12-31,30.484
2025-01-02,30.489
2025-01-03,30.492
2025-01-06,30.5
2025-01-07,30.502
2025-01-08,30.505
2025-01-09,30.507
2025-01-10,30.51
2025-01-13,30.518
2025-01-14,30.52
2025-01-15,30.523
2025-01-16,30.526
2025-01-17,30.528
2025-01-20,30.536
2025-01-21,30.539
2025-01-22,30.541
2025-01-23,30.543
2025-01-24,30.546
2025-01-27,30.554
2025-01-28,30.556
2025-01-29,30.559
2025-01-30,30.562
2025-01-31,30.564
2025-02-03,30.572
2025-02-04,30.574
2025-02-05,30.577
2025-02-06,30.579
2025-02-07,30.581
2025-02-10,30.588
2025-02-11,30.591
2025-02-12,30.593
2025-02-13,30.596
2025-02-14,30.598
2025-02-17,30.605
2025-02-18,30.608
2025-02-19,30.61
2025-02-20,30.612
2025-02-21,30.615
2025-02-24,30.622
2025-02-25,30.624
2025-02-26,30.626
2025-02-27,30.629
2025-02-28,30.632
2025-03-03,30.639
2025-03-04,30.641
2025-03-05,30.644
2025-03-06,30.646
2025-03-07,30.648
2025-03-10,30.655
2025-03-11,30.658
2025-03-12,30.66
2025-03-13,30.662
2025-03-14,30.664
2025-03-17,30.67
2025-03-18,30.673
2025-03-19,30.675
2025-03-20,30.677
2025-03-21,30.679
2025-03-24,30.685
2025-03-25,30.688
2025-03-26,30.69
2025-03-27,30.692
2025-03-28,30.694
2025-03-31,30.701
2025-04-01,30.703
2025-04-02,30.705
2025-04-03,30.708
2025-04-04,30.709
2025-04-07,30.716
2025-04-08,30.717
2025-04-09,30.72
2025-04-10,30.722
2025-04-11,30.724
2025-04-14,30.73
2025-04-15,30.733
2025-04-16,30.735
2025-04-17,30.737
2025-04-22,30.748
2025-04-23,30.75
2025-04-24,30.752
2025-04-25,30.754
2025-04-28,30.759
2025-04-29,30.762
2025-04-30,30.763
2025-05-02,30.767
2025-05-05,30.773
2025-05-06,30.776
2025-05-07,30.777
2025-05-09,30.781
2025-05-12,30.787
2025-05-13,30.79
2025-05-14,30.792
2025-05-15,30.794
2025-05-16,30.795
2025-05-19,30.801
2025-05-20,30.803
2025-05-21,30.806
2025-05-22,30.808
2025-05-23,30.809
2025-05-26,30.815
2025-05-27,30.817
2025-05-28,30.819
2025-05-30,30.823
2025-06-02,30.829
2025-06-03,30.831
2025-06-04,30.833
2025-06-05,30.835
2025-06-06,30.837
2025-06-10,30.845
2025-06-11,30.847
2025-06-12,30.849
2025-06-13,30.851
2025-06-16,30.856
2025-06-17,30.858
2025-06-18,30.86
2025-06-19,30.861
2025-06-20,30.863
2025-06-23,30.868
2025-06-24,30.87
2025-06-25,30.872
2025-06-26,30.874
2025-06-27,30.875
2025-06-30,30.881
2025-07-01,30.883
2025-07-02,30.885
2025-07-03,30.887
2025-07-04,30.889
2025-07-07,30.894
2025-07-08,30.896
2025-07-09,30.898
2025-07-10,30.899
2025-07-11,30.901
2025-07-15,30.909
2025-07-16,30.911
2025-07-17,30.913
2025-07-18,30.915
2025-07-21,30.92
2025-07-22,30.922
2025-07-23,30.924
2025-07-24,30.926
2025-07-25,30.928
2025-07-28,30.933
2025-07-29,30.935
2025-07-30,30.937
2025-07-31,30.938
2025-08-01,30.94
2025-08-04,30.946
2025-08-05,30.947
2025-08-06,30.949
2025-08-07,30.951
2025-08-08,30.953
2025-08-11,30.958
2025-08-12,30.96
2025-08-13,30.962
2025-08-14,30.964
2025-08-18,30.971
2025-08-19,30.973
2025-08-20,30.974
2025-08-21,30.976
2025-08-22,30.978
2025-08-25,30.983
2025-08-26,30.985
2025-08-27,30.987
2025-08-28,30.989
2025-08-29,30.991
2025-09-01,30.996
2025-09-02,30.998
2025-09-03,31.0
2025-09-04,31.001
2025-09-05,31.003
2025-09-08,31.009
2025-09-09,31.01
2025-09-10,31.012
2025-09-11,31.014
2025-09-12,31.016
2025-09-15,31.021
2025-09-16,31.023
2025-09-17,31.025
2025-09-18,31.027
2025-09-19,31.028
2025-09-22,31.034
2025-09-23,31.036
2025-09-24,31.037
2025-09-25,31.039
2025-09-26,31.041
2025-09-29,31.046
2025-09-30,31.048
2025-10-01,31.05
2025-10-02,31.051
2025-10-03,31.053
2025-10-06,31.058
2025-10-07,31.06
2025-10-08,31.062
2025-10-09,31.064
2025-10-10,31.066
2025-10-13,31.071
2025-10-14,31.073
2025-10-15,31.074
2025-10-16,31.076
2025-10-17,31.078
2025-10-20,31.083
2025-10-21,31.085
2025-10-22,31.087
2025-10-23,31.089
2025-10-24,31.091
2025-10-27,31.096
2025-10-28,31.098
2025-10-29,31.1
2025-10-30,31.102
2025-10-31,31.104
2025-11-03,31.109
2025-11-04,31.111
2025-11-05,31.113
2025-11-06,31.114
2025-11-07,31.116
2025-11-10,31.121
2025-11-12,31.125
2025-11-13,31.127
2025-11-14,31.129
2025-11-17,31.134
2025-11-18,31.135
2025-11-19,31.137
2025-11-20,31.139
2025-11-21,31.141
2025-11-24,31.146
2025-11-25,31.148
2025-11-26,31.15
2025-11-27,31.151
2025-11-28,31.153
2025-12-01,31.159
2025-12-02,31.161
2025-12-03,31.162
2025-12-04,31.164
2025-12-05,31.166
2025-12-08,31.171
2025-12-09,31.173
2025-12-10,31.175
2025-12-11,31.177
2025-12-12,31.179
2025-12-15,31.184
2025-12-16,31.186
2025-12-17,31.188
2025-12-18,31.189
2025-12-19,31.191
2025-12-22,31.197
2025-12-23,31.199
2025-12-24,31.201
2025-12-29,31.209
2025-12-30,31.212
2025-12-31,31.213
2026-01-02,31.217
2026-01-05,31.222
2026-01-06,31.224
2026-01-07,31.226
2026-01-08,31.228
2026-01-09,31.23
2026-01-12,31.236
2026-01-13,31.237
2026-01-14,31.239
2026-01-15,31.241
2026-01-16,31.243
2026-01-19,31.249
2026-01-20,31.251
2026-01-21,31.252
2026-01-22,31.254
2026-01-23,31.256
2026-01-26,31.262
2026-01-27,31.263
2026-01-28,31.265
2026-01-29,31.267
2026-01-30,31.269
2026-02-02,31.274
2026-02-03,31.276
2026-02-04,31.278
2026-02-05,31.28
2026-02-06,31.282
2026-02-09,31.287
2026-02-10,31.289
2026-02-11,31.291
2026-02-12,31.293
2026-02-13,31.294
2026-02-16,31.3
2026-02-17,31.302
2026-02-18,31.303
2026-02-19,31.305
2026-02-20,31.307
2026-02-23,31.312
2026-02-24,31.314
2026-02-25,31.316
2026-02-26,31.318
2026-02-27,31.32
2026-03-02,31.325
2026-03-03,31.327
2026-03-04,31.329
2026-03-05,31.331
2026-03-06,31.332
2026-03-09,31.338
2026-03-10,31.339
2026-03-11,31.341
2026-03-12,31.343
2026-03-13,31.344
2026-03-16,31.35
2026-03-17,31.351
2026-03-18,31.353
2026-03-19,31.355
2026-03-20,31.356
2026-03-23,31.362
2026-03-24,31.364
2026-03-25,31.365
2026-03-26,31.367
2026-03-27,31.368
2026-03-30,31.374
2026-03-31,31.376
2026-04-01,31.378
2026-04-02,31.38
2026-04-07,31.389
2026-04-08,31.39
2026-04-09,31.393
2026-04-10,31.394
2026-04-13,31.4
2026-04-14,31.401
2026-04-15,31.403
2026-04-16,31.405
2026-04-17,31.407
2026-04-20,31.413
2026-04-21,31.415
2026-04-22,31.417
2026-04-23,31.419
2026-04-24,31.42
2026-04-27,31.426
2026-04-28,31.428
2026-04-29,31.43
2026-04-30,31.431
2026-05-04,31.439
2026-05-05,31.441
2026-05-06,31.442
2026-05-07,31.444
2026-05-11,31.452
2026-05-12,31.453
2026-05-13,31.455
2026-05-15,31.459
2026-05-18,31.464
2026-05-19,31.467
2026-05-20,31.468
2026-05-21,31.47
2026-05-22,31.472
2026-05-26,31.48
2026-05-27,31.482
2026-05-28,31.483
2026-05-29,31.485
2026-06-01,31.49
2026-06-02,31.493
2026-06-03,31.494
2026-06-04,31.496
2026-06-05,31.498
2026-06-08,31.504
2026-06-09,31.505
2026-06-10,31.507
2026-06-11,31.509
2026-06-12,31.511
2026-06-15,31.516
2026-06-16,31.518
2026-06-17,31.52
2026-06-18,31.522
2026-06-19,31.525
2026-06-22,31.531
2026-06-23,31.533
2026-06-24,31.535
2026-06-25,31.537
2026-06-26,31.539
2026-06-29,31.546
2026-06-30,31.548
2026-07-01,31.55
2026-07-02,31.552
2026-07-03,31.554
2026-07-06,31.56
2026-07-07,31.563
2026-07-08,31.565
