Date,Close
2026-01-16,100.0
2026-01-19,98.58
2026-01-20,98.06
2026-01-21,97.71
2026-01-22,99.25
2026-01-23,99.36
2026-01-26,99.25
2026-01-27,99.51
2026-01-28,99.01
2026-01-29,98.19
2026-01-30,98.38
2026-02-02,98.75
2026-02-03,98.45
2026-02-04,97.72
2026-02-05,97.21
2026-02-06,97.97
2026-02-09,98.84
2026-02-10,98.67
2026-02-11,97.19
2026-02-12,96.49
2026-02-13,96.98
2026-02-16,97.35
2026-02-17,97.73
2026-02-18,98.94
2026-02-19,98.51
2026-02-20,99.15
2026-02-23,97.96
2026-02-24,98.14
2026-02-25,98.22
2026-02-26,99.19
2026-02-27,99.34
2026-03-02,96.99
2026-03-03,93.66
2026-03-04,95.69
2026-03-05,94.56
2026-03-06,93.88
2026-03-09,92.09
2026-03-10,94.51
2026-03-11,93.48
2026-03-12,92.86
2026-03-13,91.76
2026-03-16,91.85
2026-03-17,92.23
2026-03-18,92.22
2026-03-19,89.64
2026-03-20,88.69
2026-03-23,89.82
2026-03-24,89.5
2026-03-25,91.39
2026-03-26,90.67
2026-03-27,88.86
2026-03-30,89.37
2026-03-31,90.87
2026-04-01,93.64
2026-04-02,93.03
2026-04-07,92.28
2026-04-08,96.41
2026-04-09,96.38
2026-04-10,97.29
2026-04-13,97.64
2026-04-14,99.14
2026-04-15,99.45
2026-04-16,99.31
2026-04-17,101.12
2026-04-20,99.97
2026-04-21,99.6
2026-04-22,99.84
2026-04-23,99.73
2026-04-24,99.09
2026-04-27,99.05
2026-04-28,98.12
2026-04-29,97.85
2026-04-30,98.54
2026-05-04,98.7
2026-05-05,99.18
2026-05-06,101.3
2026-05-07,100.69
2026-05-11,100.53
2026-05-12,99.09
2026-05-13,100.12
2026-05-15,99.48
2026-05-18,99.3
2026-05-19,98.84
2026-05-20,100.3
2026-05-21,99.85
2026-05-22,100.88
2026-05-26,102.03
2026-05-27,101.5
2026-05-28,101.62
2026-05-29,101.78
2026-06-01,100.6
2026-06-02,100.87
2026-06-03,100.15
2026-06-04,100.63
2026-06-05,99.99
2026-06-08,99.63
2026-06-09,98.75
2026-06-10,98.17
2026-06-11,98.51
2026-06-12,100.27
2026-06-15,102.02
2026-06-16,101.37
2026-06-17,101.78
2026-06-18,100.83
2026-06-19,100.99
2026-06-22,101.11
2026-06-23,99.94
2026-06-24,99.43
